  分治：12 块 144 对，可行 40 对，整块淘汰掉 0 格
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
有向预计算：走向已定 0/143162 (0.0%) | 无向判定率 0.0% -> 0.0% (0 -> 0 / 71581 边)
全局阶段：固定 0 条边，起点候选 50288 / 50288 (100.0%)
adaptive PROPDEPTH=2 (fixed 0 / 71581 edges; 第一层存活率>=SURVDEEP%再升深层)
T1 sh7 cell=(20,0) PROBE0 nodes=52
T1 sh2 cell=(5,0) PROBE0 nodes=9
T1 sh6 cell=(15,0) PROBE0 nodes=22
T1 sh1 cell=(2,0) PROBE0 nodes=4
T1 sh4 cell=(12,0) PROBE0 nodes=18
T1 sh19 cell=(56,0) PROBE0 nodes=94
T1 sh17 cell=(48,0) PROBE0 nodes=68
T1 sh15 cell=(42,0) PROBE0 nodes=68
T1 sh3 cell=(9,0) PROBE0 nodes=13
T1 sh13 cell=(38,0) PROBE0 nodes=3
T1 sh0 cell=(0,0) PROBE0 nodes=3
T1 sh5 cell=(13,0) PROBE0 nodes=17
T1 sh14 cell=(40,0) PROBE0 nodes=4
T1 sh8 cell=(21,0) PROBE0 nodes=397
T1 sh16 cell=(47,0) PROBE0 nodes=123
T1 sh10 cell=(30,0) PROBE0 nodes=507
T1 sh11 cell=(34,0) PROBE0 nodes=439
T1 sh25 cell=(66,0) PROBE0 nodes=8
T1 sh20 cell=(57,0) PROBE0 nodes=87
T1 sh12 cell=(35,0) PROBE0 nodes=509
T1 sh23 cell=(63,0) PROBE0 nodes=96
T1 sh9 cell=(29,0) PROBE0 nodes=431
T1 sh18 cell=(50,0) PROBE0 nodes=89
T1 sh2 cell=(75,0) PROBE0 nodes=28
T1 sh7 cell=(82,0) PROBE0 nodes=41
T1 sh4 cell=(78,0) PROBE0 nodes=35
T1 sh19 cell=(111,0) PROBE0 nodes=14
T1 sh1 cell=(74,0) PROBE0 nodes=29
T1 sh6 cell=(81,0) PROBE0 nodes=41
T1 sh13 cell=(96,0) PROBE0 nodes=46
T1 sh3 cell=(77,0) PROBE0 nodes=34
T1 sh17 cell=(106,0) PROBE0 nodes=45
T1 sh15 cell=(102,0) PROBE0 nodes=41
T1 sh5 cell=(79,0) PROBE0 nodes=34
T1 sh14 cell=(99,0) PROBE0 nodes=40
T1 sh21 cell=(115,0) PROBE0 nodes=19
T1 sh0 cell=(70,0) PROBE0 nodes=13
T1 sh16 cell=(103,0) PROBE0 nodes=40
T1 sh8 cell=(84,0) PROBE0 nodes=34
T1 sh10 cell=(86,0) PROBE0 nodes=35
T1 sh11 cell=(89,0) PROBE0 nodes=42
T1 sh23 cell=(120,0) PROBE0 nodes=549
T1 sh12 cell=(90,0) PROBE0 nodes=21
T1 sh18 cell=(107,0) PROBE0 nodes=45
T1 sh9 cell=(85,0) PROBE0 nodes=35
T1 sh20 cell=(114,0) PROBE0 nodes=316
T1 sh24 cell=(121,0) PROBE0 nodes=504
T1 sh7 cell=(137,0) PROBE0 nodes=514
T1 sh17 cell=(158,0) PROBE0 nodes=6
T1 sh13 cell=(148,0) PROBE0 nodes=437
T1 sh1 cell=(126,0) PROBE0 nodes=565
T1 sh3 cell=(130,0) PROBE0 nodes=566
T1 sh16 cell=(153,0) PROBE0 nodes=508
T1 sh21 cell=(173,0) PROBE0 nodes=143
T1 sh14 cell=(151,0) PROBE0 nodes=138
T1 sh10 cell=(141,0) PROBE0 nodes=514
T1 sh0 cell=(124,0) PROBE0 nodes=567
T1 sh18 cell=(162,0) PROBE0 nodes=17
T1 sh15 cell=(152,0) PROBE0 nodes=139
T1 sh11 cell=(143,0) PROBE0 nodes=121
T1 sh8 cell=(138,0) PROBE0 nodes=118
T1 sh19 cell=(228,0) PROBE0 nodes=12
T1 sh9 cell=(139,0) PROBE0 nodes=117
T1 sh20 cell=(172,0) PROBE0 nodes=146
T1 sh12 cell=(147,0) PROBE0 nodes=137
T1 sh13 cell=(211,0) PROBE0 nodes=22
T1 sh17 cell=(217,0) PROBE0 nodes=29
T1 sh16 cell=(216,0) PROBE0 nodes=26
T1 sh25 cell=(245,0) PROBE0 nodes=71
T1 sh14 cell=(212,0) PROBE0 nodes=25
T1 sh10 cell=(204,0) PROBE0 nodes=12
T1 sh21 cell=(230,0) PROBE0 nodes=13
T1 sh18 cell=(222,0) PROBE0 nodes=28
T1 sh11 cell=(205,0) PROBE0 nodes=13
T1 sh22 cell=(235,0) PROBE0 nodes=92
T1 sh15 cell=(215,0) PROBE0 nodes=26
T1 sh7 cell=(258,0) PROBE0 nodes=17
