level	type	deg4	open2x2
1	S	0.1429	0.2857
2	S	0.2	0.4
3	S	0.0	0.1538
4	S	0.0714	0.2857
5	S	0.1667	0.3889
6	S	0.0	0.15
7	S	0.1818	0.4091
8	S	0.1154	0.3846
9	S	0.2121	0.4848
10	S	0.0667	0.2333
11	S	0.1714	0.4857
12	S	0.2439	0.4878
13	S	0.122	0.3415
14	S	0.2128	0.4255
15	S	0.1731	0.4231
16	S	0.2642	0.5472
17	S	0.1333	0.3667
18	S	0.2879	0.5303
19	S	0.1791	0.3881
20	S	0.28	0.4933
21	S	0.2561	0.4756
22	S	0.2118	0.4353
23	S	0.1319	0.3736
24	S	0.21	0.44
25	S	0.163	0.3587
26	S	0.1765	0.3627
27	S	0.2087	0.4435
28	S	0.1909	0.3909
29	S	0.125	0.325
30	S	0.1318	0.3411
31	S	0.2463	0.4403
32	S	0.1338	0.3451
33	S	0.1523	0.3775
34	S	0.1233	0.3082
35	S	0.075	0.2313
36	S	0.1037	0.2927
37	S	0.186	0.343
38	S	0.2022	0.3825
39	S	0.1283	0.3209
40	S	0.1429	0.3862
41	S	0.1485	0.3515
42	S	0.1698	0.3255
43	S	0.16	0.35
44	S	0.1644	0.3422
45	S	0.1491	0.3289
46	S	0.1283	0.3009
47	S	0.1772	0.346
48	S	0.1032	0.2857
49	S	0.1344	0.2964
50	S	0.1886	0.395
51	S	0.1497	0.3299
52	S	0.1255	0.3063
53	S	0.1081	0.2973
54	S	0.1291	0.3113
55	S	0.1728	0.3549
56	S	0.1889	0.4056
57	S	0.1579	0.345
58	S	0.0743	0.2508
59	S	0.1307	0.321
60	A	0.125	0.3011
61	B	0.0883	0.2735
62	A	0.134	0.3056
63	A	0.1125	0.3075
64	A	0.1154	0.3077
65	A	0.1643	0.3286
66	A	0.1126	0.2943
67	A	0.1678	0.3537
68	A	0.1057	0.2828
69	A	0.1317	0.311
70	A	0.1398	0.3284
71	A	0.14	0.3185
72	A	0.1417	0.3359
73	A	0.1434	0.3207
74	A	0.15	0.3389
75	A	0.1529	0.3204
76	A	0.1193	0.2991
77	B	0.0924	0.2791
78	A	0.1193	0.3002
79	A	0.1459	0.3251
80	A	0.1181	0.3166
81	A	0.1077	0.2845
82	A	0.1545	0.3366
83	A	0.1415	0.3041
84	A	0.1091	0.2948
85	A	0.1639	0.3415
86	A	0.1581	0.3349
87	A	0.1329	0.3237
88	A	0.1459	0.324
89	B	0.0973	0.2804
90	A	0.1388	0.3116
91	A	0.1469	0.3248
92	A	0.118	0.2963
93	A	0.1095	0.2982
94	A	0.1662	0.3501
95	A	0.1228	0.3043
96	A	0.1237	0.3063
97	A	0.1335	0.308
98	A	0.1247	0.3058
99	B	0.0978	0.2829
100	A	0.1178	0.2985
101	A	0.1499	0.3356
102	B	0.0879	0.2627
103	A	0.1077	0.2814
104	A	0.115	0.3012
105	B	0.0988	0.2816
106	A	0.1206	0.3062
107	A	0.1199	0.2997
108	B	0.1025	0.2915
109	A	0.1179	0.3051
110	A	0.1062	0.3012
111	A	0.1315	0.3201
112	A	0.1274	0.3033
113	A	0.1207	0.2999
114	A	0.122	0.3133
115	A	0.1622	0.3452
116	A	0.1279	0.3131
117	A	0.147	0.3308
118	A	0.1416	0.3224
119	A	0.1406	0.303
120	A	0.1416	0.3147
121	A	0.1327	0.3086
122	A	0.1395	0.321
123	A	0.1467	0.3189
124	A	0.1454	0.3265
125	A	0.1286	0.3135
126	B	0.0969	0.2816
127	A	0.135	0.3166
128	A	0.1308	0.3143
129	A	0.1478	0.3277
130	A	0.1427	0.3245
131	A	0.1106	0.2864
132	A	0.1295	0.3105
133	A	0.1547	0.334
134	A	0.153	0.3364
135	A	0.1213	0.3067
136	A	0.105	0.2988
137	B	0.1001	0.274
138	A	0.1229	0.3078
139	A	0.1247	0.3136
140	A	0.136	0.3199
141	A	0.1215	0.3166
142	A	0.1345	0.3132
143	A	0.1488	0.3266
144	A	0.1218	0.3122
145	A	0.1331	0.312
146	A	0.1519	0.3367
147	B	0.099	0.2837
148	A	0.1095	0.2972
149	A	0.1284	0.3165
150	A	0.1273	0.3134
151	A	0.1249	0.3049
152	A	0.147	0.3396
153	A	0.1314	0.3106
154	A	0.1218	0.3039
155	A	0.1101	0.2928
156	A	0.1264	0.3053
157	A	0.1298	0.311
158	A	0.1283	0.3122
159	A	0.1184	0.295
160	A	0.129	0.2987
161	A	0.1283	0.3035
162	A	0.1367	0.3145
163	A	0.1227	0.309
164	A	0.1408	0.3149
165	A	0.1314	0.3099
166	A	0.1251	0.3017
167	A	0.1213	0.3054
168	A	0.1163	0.3038
169	A	0.1243	0.312
170	A	0.1646	0.3493
171	A	0.1224	0.3074
172	A	0.1378	0.3213
173	A	0.145	0.3207
174	B	0.1007	0.2781
175	A	0.1263	0.3086
176	A	0.1268	0.3045
177	A	0.1321	0.3145
178	A	0.1278	0.3114
179	A	0.1446	0.3207
180	A	0.1441	0.3239
181	A	0.1149	0.2975
182	A	0.1156	0.2953
183	A	0.1216	0.2992
184	A	0.1403	0.3178
185	A	0.1317	0.3156
186	A	0.1299	0.3076
187	A	0.128	0.3145
188	A	0.1272	0.3151
189	A	0.1302	0.3081
190	A	0.1276	0.3075
191	A	0.1303	0.3106
192	A	0.1178	0.2935
193	A	0.1247	0.3063
194	A	0.1421	0.3187
195	B	0.1034	0.2873
196	A	0.1398	0.325
197	A	0.1289	0.3111
198	A	0.1282	0.3113
199	A	0.1352	0.3188
200	A	0.1247	0.3018
201	A	0.1182	0.2999
202	A	0.1337	0.3165
203	A	0.1146	0.2919
204	A	0.1344	0.314
205	A	0.128	0.3098
206	A	0.1313	0.3028
207	A	0.122	0.3014
208	A	0.1328	0.3194
209	A	0.1206	0.2951
210	A	0.1213	0.3019
211	A	0.1138	0.2993
212	A	0.1201	0.3066
213	A	0.1283	0.3137
214	A	0.1192	0.2992
215	A	0.1288	0.3058
216	A	0.1367	0.3203
217	A	0.1283	0.3138
218	A	0.131	0.3119
219	A	0.1189	0.2996
220	A	0.1416	0.3269
221	A	0.1221	0.3045
222	A	0.1379	0.3187
223	A	0.127	0.3129
224	A	0.1271	0.3025
225	A	0.1556	0.3284
226	A	0.1402	0.3204
227	A	0.1277	0.3125
228	A	0.1472	0.3233
229	A	0.1259	0.3019
230	A	0.1073	0.2916
231	A	0.118	0.2995
232	A	0.1316	0.3199
233	A	0.1325	0.3123
234	A	0.1288	0.313
235	A	0.1465	0.3312
236	A	0.1307	0.3132
237	A	0.1413	0.324
238	A	0.1359	0.3193
239	A	0.1512	0.334
240	A	0.1291	0.3124
241	A	0.1352	0.312
242	A	0.1417	0.3229
243	A	0.133	0.3187
244	A	0.1243	0.2987
245	A	0.1206	0.2957
246	A	0.1385	0.3125
247	A	0.1437	0.3156
248	A	0.1365	0.323
249	A	0.1338	0.3135
250	A	0.1263	0.2974
251	A	0.1319	0.3116
252	A	0.1264	0.3047
253	A	0.1323	0.3167
254	A	0.1469	0.33
255	A	0.1222	0.3077
256	A	0.1295	0.3164
257	A	0.143	0.3268
258	A	0.1213	0.3016
259	A	0.1374	0.3206
260	A	0.1256	0.304
261	A	0.1303	0.3095
262	A	0.1318	0.3144
263	B	0.0701	0.2439
264	A	0.1194	0.3005
265	A	0.1339	0.3165
266	A	0.1295	0.3154
267	A	0.128	0.3099
268	A	0.1381	0.3169
269	A	0.1309	0.3101
270	A	0.1299	0.3155
271	A	0.1369	0.3165
272	A	0.1468	0.3332
273	A	0.1309	0.3172
274	A	0.1363	0.3163
275	A	0.1332	0.3154
276	A	0.1449	0.323
277	A	0.1376	0.3139
278	A	0.1364	0.3122
279	A	0.1235	0.3034
280	A	0.1117	0.2949
281	A	0.1396	0.3224
282	A	0.1444	0.3315
283	A	0.1422	0.3226
284	A	0.1365	0.3171
285	A	0.1316	0.3217
286	A	0.1386	0.3241
287	A	0.1331	0.3131
288	A	0.1308	0.3158
289	A	0.144	0.3277
290	A	0.1325	0.3139
291	A	0.1454	0.3235
292	A	0.1215	0.3031
293	A	0.1211	0.3076
294	A	0.1328	0.3103
295	A	0.1333	0.3093
296	A	0.1288	0.3071
297	A	0.1395	0.325
298	A	0.1371	0.3161
299	A	0.1336	0.3159
300	A	0.1323	0.317
301	A	0.1381	0.3166
302	A	0.1362	0.3178
303	A	0.122	0.3062
304	A	0.1391	0.3188
305	A	0.1352	0.3133
306	A	0.1323	0.3145
307	A	0.1265	0.3111
308	A	0.1278	0.3075
309	A	0.1277	0.3107
310	A	0.135	0.3153
311	A	0.1609	0.3428
312	A	0.1224	0.3015
313	A	0.1408	0.319
314	A	0.1395	0.3225
315	A	0.1301	0.313
316	A	0.1154	0.2935
317	A	0.1399	0.3203
318	A	0.1202	0.3006
319	A	0.1433	0.3276
320	A	0.1347	0.3158
321	A	0.131	0.3127
322	A	0.1245	0.3073
323	B	0.0705	0.2536
324	A	0.1284	0.3108
325	A	0.1234	0.3015
326	A	0.1306	0.3112
327	A	0.1357	0.3173
328	A	0.1403	0.3222
329	A	0.1301	0.3156
330	A	0.1408	0.3225
331	A	0.1382	0.3205
332	A	0.1293	0.3111
333	A	0.1385	0.3182
334	A	0.1254	0.305
335	A	0.1345	0.3208
336	A	0.1425	0.3232
337	A	0.1325	0.3132
338	A	0.1355	0.3176
339	A	0.1295	0.3131
340	A	0.129	0.3113
341	A	0.1324	0.3143
342	A	0.1303	0.3109
343	A	0.1359	0.3188
344	A	0.1308	0.3141
345	A	0.1307	0.3102
346	A	0.1556	0.3383
347	A	0.1326	0.3109
348	A	0.1521	0.3332
349	A	0.1361	0.3183
350	A	0.1367	0.3185
351	A	0.1235	0.3071
352	A	0.1348	0.3158
353	B	0.0673	0.245
354	A	0.133	0.315
355	A	0.138	0.3209
356	A	0.1292	0.3123
357	A	0.1379	0.3186
358	A	0.14	0.3189
359	A	0.144	0.3211
360	A	0.136	0.3137
361	A	0.1244	0.3055
362	A	0.1435	0.3262
363	A	0.1278	0.3139
364	A	0.1333	0.3118
365	A	0.1441	0.3225
366	A	0.1396	0.3218
367	A	0.1364	0.3206
368	A	0.1386	0.3151
369	A	0.1295	0.308
370	A	0.1338	0.3169
371	A	0.1197	0.2991
372	A	0.1382	0.3146
373	A	0.1203	0.3025
374	A	0.1329	0.3173
375	A	0.1351	0.3142
376	A	0.1387	0.3167
377	A	0.133	0.3167
378	A	0.1254	0.3071
379	A	0.1409	0.3225
380	A	0.1376	0.3198
381	A	0.1349	0.3165
382	A	0.1324	0.3133
383	B	0.0664	0.2515
384	A	0.1344	0.3183
385	A	0.1337	0.3144
386	A	0.1323	0.3138
387	A	0.1372	0.3194
388	A	0.1397	0.3212
389	A	0.1251	0.3076
390	A	0.1435	0.3256
391	A	0.1312	0.3117
392	A	0.1324	0.3173
393	A	0.142	0.3211
394	A	0.1268	0.3083
395	A	0.1345	0.3158
396	A	0.1427	0.3244
397	A	0.1328	0.3146
398	A	0.1337	0.3195
399	A	0.1458	0.3261
400	A	0.1344	0.3128
401	A	0.139	0.3214
402	A	0.1394	0.3231
403	A	0.1325	0.3165
404	A	0.1422	0.326
405	A	0.14	0.3223
406	A	0.1339	0.315
407	A	0.1322	0.316
408	A	0.1372	0.318
409	A	0.1395	0.3206
410	A	0.131	0.3117
411	A	0.1357	0.3167
412	A	0.1245	0.3092
413	B	0.0761	0.2604
414	A	0.1403	0.3219
415	A	0.1414	0.3204
416	A	0.1409	0.3229
417	A	0.1329	0.314
418	A	0.1326	0.315
419	A	0.1413	0.3237
420	A	0.133	0.317
421	A	0.1341	0.3146
422	A	0.1374	0.3203
423	A	0.1428	0.3299
424	A	0.1345	0.3166
425	A	0.1312	0.3127
426	A	0.1326	0.3114
427	A	0.1326	0.3163
428	A	0.1462	0.3268
429	A	0.1333	0.3119
430	A	0.1425	0.327
431	A	0.1372	0.3194
432	A	0.1385	0.3195
433	A	0.1378	0.3202
434	A	0.1447	0.3267
435	A	0.1313	0.3125
436	A	0.1364	0.3184
437	A	0.1372	0.315
438	A	0.1403	0.3182
439	A	0.1231	0.3049
440	A	0.1455	0.3247
441	A	0.127	0.3082
442	A	0.1343	0.3158
443	A	0.1338	0.3159
444	A	0.1363	0.3175
445	A	0.1398	0.3228
446	A	0.1307	0.3148
447	A	0.1326	0.3131
448	A	0.13	0.3127
449	A	0.1355	0.3142
450	A	0.1412	0.3222
451	A	0.1398	0.3187
452	A	0.1328	0.3139
453	A	0.1466	0.3276
454	A	0.1445	0.3284
455	A	0.1326	0.3128
456	A	0.1342	0.3164
457	A	0.1332	0.3149
458	A	0.1395	0.3181
459	A	0.1219	0.3024
460	A	0.1322	0.3135
461	A	0.1327	0.3117
462	A	0.1404	0.3215
463	A	0.1331	0.3141
464	A	0.1297	0.309
465	A	0.1354	0.3164
466	A	0.1317	0.3133
467	A	0.1327	0.3148
468	A	0.1279	0.3121
469	A	0.1401	0.3211
470	A	0.1367	0.3196
471	A	0.1344	0.315
472	A	0.1372	0.3179
473	A	0.1286	0.3099
474	A	0.1197	0.302
475	A	0.1312	0.3112
476	A	0.1308	0.3105
477	A	0.1317	0.3145
478	A	0.1313	0.3119
479	A	0.1339	0.3163
480	A	0.1242	0.3061
481	A	0.1325	0.3126
482	A	0.1249	0.3071
483	A	0.1322	0.3121
484	A	0.1295	0.3101
485	A	0.1227	0.3019
486	A	0.1326	0.313
487	A	0.1268	0.3094
488	A	0.1285	0.3103
489	A	0.1197	0.2995
490	A	0.1274	0.3101
491	A	0.1285	0.3135
492	A	0.1372	0.316
493	A	0.1328	0.3144
494	A	0.1232	0.305
495	A	0.1386	0.3199
496	A	0.129	0.3111
497	A	0.1286	0.3104
498	A	0.1238	0.3062
499	A	0.1244	0.3096
500	A	0.1311	0.3114
501	A	0.1372	0.3215
502	A	0.1245	0.3071
503	A	0.1296	0.3143
504	A	0.128	0.3075
505	A	0.1259	0.3058
506	A	0.1226	0.3023
507	A	0.1318	0.3117
508	A	0.1279	0.3095
509	A	0.1256	0.3067
510	A	0.133	0.3135
511	A	0.1294	0.3111
512	A	0.1239	0.3051
513	A	0.133	0.3143
514	A	0.1301	0.3149
515	A	0.1268	0.3068
516	A	0.137	0.3146
517	A	0.1323	0.3147
518	A	0.124	0.3056
519	A	0.1268	0.3084
520	A	0.1278	0.3097
521	A	0.1294	0.3106
522	A	0.1288	0.3132
523	A	0.1339	0.3149
524	A	0.1352	0.319
525	A	0.1319	0.3139
526	A	0.1243	0.3049
527	A	0.1287	0.3112
528	A	0.1322	0.3135
529	A	0.1315	0.3117
530	A	0.1287	0.3122
531	A	0.1387	0.3202
532	A	0.1293	0.3098
533	B	0.0779	0.2572
534	A	0.1204	0.3023
535	A	0.1313	0.313
536	A	0.1269	0.307
537	A	0.1272	0.3081
538	A	0.131	0.3136
539	A	0.1303	0.3113
540	A	0.1366	0.3183
541	A	0.1208	0.302
542	A	0.1327	0.3143
543	A	0.1359	0.3181
544	A	0.1293	0.3119
545	A	0.137	0.3179
546	A	0.1266	0.3083
547	A	0.1333	0.3147
548	A	0.1285	0.3102
549	A	0.1268	0.3081
550	A	0.1345	0.3167
551	A	0.128	0.309
552	A	0.1331	0.3162
553	A	0.1293	0.3132
554	A	0.128	0.3093
555	A	0.1277	0.3112
556	A	0.1291	0.3087
557	A	0.1374	0.3188
558	A	0.1308	0.3127
559	A	0.1302	0.3139
560	A	0.1287	0.3101
561	A	0.1365	0.317
562	A	0.1293	0.3127
563	B	0.0749	0.2555
564	A	0.1278	0.3105
565	A	0.1301	0.3113
566	A	0.1282	0.3112
567	A	0.133	0.3159
568	A	0.1322	0.3116
569	A	0.1279	0.3111
570	A	0.1374	0.3189
571	A	0.1352	0.3174
572	A	0.1254	0.3065
573	A	0.1374	0.3176
574	A	0.1339	0.3164
575	A	0.1294	0.3104
576	A	0.1331	0.3134
577	A	0.1319	0.3089
578	A	0.1325	0.3154
579	A	0.128	0.3099
580	A	0.1264	0.3062
581	A	0.1329	0.3125
582	A	0.1292	0.3083
583	A	0.1307	0.313
584	A	0.1311	0.3127
585	A	0.137	0.3171
586	A	0.131	0.3141
587	A	0.1289	0.3129
588	A	0.1327	0.3151
589	A	0.1327	0.3155
590	A	0.1372	0.3185
591	A	0.1324	0.3149
592	A	0.1321	0.315
593	B	0.0731	0.2554
594	A	0.1342	0.3161
595	A	0.1361	0.316
596	A	0.1276	0.3107
597	A	0.1294	0.3101
598	A	0.1341	0.315
599	A	0.1342	0.3153
600	A	0.1337	0.3159
601	A	0.1316	0.3157
602	A	0.1297	0.3122
603	A	0.1356	0.3175
604	A	0.1304	0.312
605	A	0.1281	0.3109
606	A	0.1299	0.3113
607	A	0.1268	0.3097
608	A	0.1264	0.3053
609	A	0.1261	0.3076
610	A	0.1292	0.3092
611	A	0.1336	0.3161
612	A	0.1318	0.3131
613	A	0.1346	0.3152
614	A	0.1396	0.3209
615	A	0.1343	0.3154
616	A	0.1339	0.3157
617	A	0.1339	0.3187
618	A	0.1331	0.3158
619	A	0.134	0.3152
620	A	0.1369	0.318
621	A	0.1307	0.3152
622	A	0.1297	0.3125
623	B	0.0732	0.2529
624	A	0.1275	0.3105
625	A	0.1322	0.3136
626	A	0.1361	0.315
627	A	0.1312	0.3112
628	A	0.1378	0.3195
629	A	0.1303	0.3137
630	A	0.1304	0.3122
631	A	0.1302	0.3136
632	A	0.132	0.3115
633	A	0.1268	0.3045
634	A	0.1334	0.3132
635	A	0.1233	0.3041
636	A	0.1294	0.3102
637	A	0.1265	0.3074
638	A	0.1359	0.3185
639	A	0.1363	0.3169
640	A	0.1313	0.3137
641	A	0.1319	0.314
642	A	0.1345	0.316
643	A	0.1388	0.3214
644	A	0.1234	0.3039
645	A	0.1341	0.3157
646	A	0.1284	0.3113
647	A	0.1285	0.3089
648	A	0.1307	0.3113
649	A	0.1301	0.3123
650	A	0.1278	0.3075
651	A	0.135	0.3169
652	A	0.1321	0.3139
653	A	0.1348	0.3155
654	A	0.1335	0.3173
655	A	0.1306	0.3155
656	A	0.1323	0.3146
657	A	0.1306	0.3089
658	A	0.1365	0.3179
659	A	0.1292	0.3101
660	A	0.1309	0.3116
661	A	0.1294	0.3109
662	A	0.1331	0.3144
663	A	0.1337	0.3129
664	A	0.1347	0.3157
665	A	0.1335	0.3138
666	A	0.137	0.3184
667	A	0.1275	0.3062
668	A	0.1272	0.3087
669	A	0.1382	0.3199
670	A	0.1315	0.3131
671	A	0.1352	0.3178
672	A	0.1324	0.315
673	A	0.1282	0.3087
674	A	0.1349	0.3155
675	A	0.1346	0.3138
676	A	0.133	0.3153
677	A	0.1346	0.3166
678	A	0.1283	0.3092
679	A	0.1362	0.32
680	A	0.1367	0.3185
681	A	0.136	0.316
682	A	0.131	0.3118
683	A	0.13	0.3098
684	A	0.1345	0.3164
685	A	0.1312	0.3117
686	A	0.1337	0.3146
687	A	0.1318	0.3139
688	A	0.1399	0.3212
689	A	0.1384	0.3187
690	A	0.1334	0.3134
691	A	0.1351	0.3148
692	A	0.1348	0.3158
693	A	0.1371	0.3221
694	A	0.1267	0.3095
695	A	0.1374	0.319
696	A	0.1323	0.3129
697	A	0.1261	0.3059
698	A	0.1379	0.319
699	A	0.1325	0.3157
700	A	0.1324	0.3134
701	A	0.1289	0.3124
702	A	0.1371	0.3187
703	A	0.1346	0.3173
704	A	0.1331	0.3146
705	A	0.1307	0.3129
706	A	0.1313	0.312
707	A	0.1385	0.3219
708	A	0.1401	0.3196
709	A	0.1404	0.3215
710	A	0.1352	0.3186
711	A	0.136	0.3174
712	A	0.1352	0.3177
713	A	0.1353	0.3176
714	A	0.1345	0.3165
715	A	0.1337	0.3159
716	A	0.1308	0.313
717	A	0.1335	0.3146
718	A	0.14	0.3221
719	A	0.1366	0.3169
720	A	0.1318	0.314
721	A	0.1336	0.3148
722	A	0.1376	0.3201
723	A	0.1327	0.3139
724	A	0.1301	0.3134
725	A	0.135	0.3145
726	A	0.1348	0.3187
727	A	0.135	0.3146
728	A	0.1342	0.3149
729	A	0.1305	0.3115
730	A	0.1289	0.3091
731	A	0.1279	0.3098
732	A	0.1391	0.3231
733	A	0.1345	0.3156
734	A	0.1365	0.3162
735	A	0.1352	0.3161
736	A	0.1331	0.3164
737	A	0.1374	0.317
738	A	0.1344	0.3166
739	A	0.1353	0.3166
740	A	0.1307	0.3124
741	A	0.1342	0.3147
742	A	0.1335	0.3124
743	A	0.137	0.3171
744	A	0.1336	0.315
745	A	0.133	0.3149
746	A	0.1355	0.3155
747	A	0.1367	0.3175
748	A	0.1325	0.3139
749	A	0.1327	0.3135
750	A	0.1391	0.3185
751	A	0.1329	0.3119
752	A	0.1344	0.3172
753	A	0.1303	0.3126
754	A	0.1317	0.3153
755	A	0.1285	0.3114
756	A	0.1336	0.316
757	A	0.1297	0.3126
758	A	0.1364	0.3193
759	A	0.1341	0.3163
760	A	0.1346	0.3152
761	A	0.136	0.316
762	A	0.1367	0.3175
763	A	0.1303	0.3127
764	A	0.1288	0.3094
765	A	0.1327	0.3131
766	A	0.1327	0.3146
767	A	0.133	0.3133
768	A	0.1335	0.3146
769	A	0.1369	0.3175
770	A	0.1344	0.3173
771	A	0.1327	0.316
772	A	0.1351	0.3175
773	A	0.133	0.315
774	A	0.1325	0.3136
775	A	0.1304	0.3118
776	A	0.1344	0.318
777	A	0.1375	0.3174
778	A	0.1287	0.3112
779	A	0.1318	0.3106
780	A	0.1328	0.3153
781	A	0.1334	0.3142
782	A	0.1399	0.3229
783	A	0.1313	0.3145
784	A	0.1349	0.3166
785	A	0.1346	0.3153
786	A	0.1334	0.3147
787	A	0.1327	0.3146
788	A	0.1328	0.3139
789	A	0.1319	0.3136
790	A	0.135	0.3152
791	A	0.1329	0.314
